GEONAME,Pop_Tot,Prop_18y,Prop_64y,Prop_65y+,Prop_Blk,Prop_Lat,Prop_Whi,Prop_Asi,Prop_Ami,Prop_NHO,Prop_FPL1,Prop_FPL2,Prop_forb,Prop_Eng,LE,Prop_prsc,Prop_3rdg,Prop_edLH,Prop_edHG,Prop_edSC,Prop_edCG,MHI,No_libr,Prop_empl,Prop_emsu,Prop_vote,Rte_resp,Prop_PA,Prop_groc,Prop_60mi,No_farm,No_EBT,Prop_foin,No_CalF,Rte_CalF,Prop_FRPM,Prop_obse,Prop_DM,Rte_coin,Rte_brin,Prop_smok,Rte_luca,Rte_COPD,Rte_CVD,Prop_hbu1,Prop_hbu2,Prop_ownr,Prop_rentr,No_hless,Prop_asth,Rte_crim,Rte_hom,Rte_alco,Propt_envi,No_gasw,Rte_te17,Rte_te19,Prop_LBW,Rte_IMR,Prop_1stt,Prop_depr,Rte_suic,Rte_UOD,Rte_syin,Rte_goin,Rte_hiv,Prop_uinC,Prop_uinA,Prop_duinC,Prop_duinA,Propt_HPI,Rte_mein,Rte_cein,Rte_luin,Prop_fru,Prop_bev,Prop_hyp,Prop_marj,Prop_HI,Prop_grad,Prop_trua
Montebello,63732,0.2361,0.6114,0.1525,0.0066,0.7986,0.0844,0.1081,0.0016,0.0008,0.1408,0.413,0.3748,0.2185,82.95,0.452,0.3147,0.283,0.2912,0.2386,0.1872,45875,2,0.937,0.5548,0.6634,1.306,0.3659,0.4436,0.182,0,0,**,"10,482",0.7300,0.8046,0.2713,0.1048,43.9160,116.6006,0.1367,22.3166,21.6667,198.065,0.496,0.248,0.454,0.546,52,0.0638,336,4,14,52,710,5.6013,14.5283,0.0744,4.1376,0.8868,0.0506,5,5,25,114,286,0.0583,0.3236,0.1551,0.2238,25.8,**,**,29.6,0.2,0.6,0.2,0.1,0.0,0.9,0.2
Monterey Park,61121,0.1724,0.6155,0.2121,0.0033,0.2743,0.0458,0.6754,0.001,0.0003,0.1414,0.4133,0.536,0.2847,86.3,0.6,0.5832,0.2127,0.2443,0.2385,0.3044,54097,1,0.912,0.4655,0.6048,1.4436,0.236,0.5435,0.086,1,1,0.1807,"10,927",0.3300,0.6206,0.1058,0.1222,42.0053,111.8035,0.2038,24.2785,14.6091,145.13,0.454,0.238,0.52,0.48,7,0.0671,214,**,14,4,31,**,5.1257,0.0572,**,0.8655,0.0442,**,**,12,59,155,0.0676,0.2322,0.0856,0.3448,32.1,**,**,31.5,0.1,0.2,0.3,0,**,-,0
Norwalk,104869,0.2438,0.6379,0.1184,0.043,0.699,0.1224,0.1291,0.0026,0.0038,0.1261,0.4175,0.345,0.1505,82.23,0.507,0.4035,0.2651,0.2713,0.3096,0.1539,59756,2,0.922,0.5834,0.654,0.847,0.3289,0.7391,0.113,1,1,0.1773,"16,543",0.7400,0.8032,0.3187,0.1256,33.0638,127.7068,0.1237,24.4707,39.3429,227.83,0.447,0.201,0.631,0.369,256,0.0836,400,6,10,50,26,6.2743,16.3330,0.0607,2.9793,0.8649,0.0603,7,5,27,108,259,0.0787,0.2698,0.0813,0.1645,39.1,11.8,**,29.7,0.1,0.4,0.3,0.1,0.0,1.0,0.2
Palmdale,159690,0.2807,0.6328,0.0864,0.1545,0.5498,0.2498,0.0413,0.0031,0.0014,0.2018,0.4764,0.2624,0.1000,78.51,0.409,0.2855,0.2583,0.2592,0.3341,0.1483,52392,1,0.887,0.6881,0.613,1.6178,0.3971,0.2773,0.318,0,0,0.2637,"39,465",0.6700,0.7506,0.3054,0.1217,41.2809,128.0919,0.1705,34.3424,55.9405,236.912,0.489,0.238,0.632,0.368,212,0.1634,436,6,9,95,5,7.8934,22.3927,0.0925,5.4717,0.687,0.0964,10,7,12,131,227,0.0729,0.2223,0.1108,0.2521,24.4,19.0,**,43.4,0.1,0.4,0.3,0.1,0.1,0.8,0.3
Paramount,56225,0.2872,0.632,0.0807,0.1208,0.7865,0.0541,0.0295,0.0015,0.0076,0.2237,0.5509,0.3771,0.1615,80.54,0.375,0.3279,0.4206,0.2585,0.2388,0.0822,45792,1,0.912,0.5769,0.5774,0.9541,0.3351,0.5658,0.109,1,1,0.2555,"13,746",0.6500,0.939,0.2782,0.1288,40.2059,115.8592,0.1116,34.1295,39.3605,219.086,0.52,0.272,0.39,0.61,50,0.1464,557,9,12,76,4,7.4554,20.9076,0.0648,4.8042,0.8473,0.073,**,5,22,132,260,0.0853,0.3231,0.0963,0.1964,18.1,**,**,41.0,0.1,0.5,0.2,0.1,0.1,0.9,0.4
Pasadena,140883,0.2012,0.6477,0.1511,0.1034,0.3442,0.3919,0.1581,0.0015,0.0008,0.1306,0.2262,0.3037,0.0886,81.85,0.743,0.4489,0.1257,0.1385,0.2354,0.5004,72402,10,0.933,0.7105,0.7029,2.7184,0.3855,0.5965,0.103,3,3,0.1438,"22,495",0.5000,0.6313,0.2233,0.0823,38.1364,161.0131,0.1071,24.3354,30.7421,213.696,0.429,0.21,0.436,0.564,530,0.0861,339,4,24,43,0,4.8622,11.0211,0.0693,4.1508,0.8893,0.1247,6,5,19,72,390,0.0509,0.1863,0.1377,0.1659,66.4,30.1,**,35.4,0.2,0.3,0.3,0.1,0.0,0.8,0.6
Pico Rivera,64052,0.2396,0.6227,0.1377,0.0064,0.9143,0.0516,0.0256,0.0018,0.0003,0.1241,0.3804,0.3312,0.1333,82.28,0.586,0.3627,0.3184,0.3011,0.2689,0.1116,55752,2,0.905,0.618,0.6817,1.2827,0.3515,0.5306,0.111,1,1,0.2028,"10,244",0.6400,0.7413,0.2969,0.1196,44.2745,130.2484,0.1264,19.4680,19.3882,202.833,0.432,0.201,0.666,0.334,105,0.0834,343,5,16,49,30,2.9188,12.3237,0.0705,**,0.8688,0.0694,6,**,25,118,272,0.0874,0.3114,0.1023,0.1765,34.9,**,**,29.5,0.1,0.5,0.3,0.1,0.0,0.9,0.2
Pomona,155212,0.2668,0.6395,0.0937,0.0692,0.7123,0.1248,0.0898,0.0022,0.0017,0.2012,0.5234,0.3415,0.1381,79.81,0.5,0.2745,0.325,0.2478,0.2515,0.1757,49186,1,0.899,0.6093,0.5894,1.4864,0.3498,0.5042,0.149,2,1,0.1995,"35,595",0.7300,0.8481,0.3119,0.1073,41.1797,123.7828,0.1126,29.0547,37.7932,237.925,0.507,0.25,0.524,0.476,689,0.0779,494,7,12,0,6,9.2829,24.9722,0.0599,4.7876,0.86,0.0699,8,7,18,162,297,0.0792,0.2953,0.0959,0.2329,18.8,15.6,**,33.8,0.1,0.4,0.2,0.1,0.0,0.9,0.2
Rancho Palos Verdes,42909,0.1685,0.5855,0.246,0.0236,0.0869,0.5602,0.327,0.0012,0.001,0.0365,0.0765,0.2726,0.0768,85.37,0.894,0.7758,0.024,0.1011,0.2254,0.6494,118780,1,0.96,0.7256,0.7699,10.1229,0.3212,0.3866,0.134,0,0,**,"2,181",0.1300,0.2627,0.2028,0.0900,28.2194,194.3820,0.1245,17.7135,20.2592,138.322,0.344,0.169,0.803,0.197,1,**,63,**,7,97,4,**,**,0.058,**,0.8763,0.0831,9,**,-,25,52,0.0254,0.0699,0.0552,0.0755,94.4,53.3,**,29.6,0.1,0.3,0.3,0.1,0.0,-,0.2
Redondo Beach,69316,0.2056,0.6614,0.133,0.0272,0.1567,0.6806,0.1302,0.0025,0.0028,0.0462,0.0957,0.1877,0.0393,83.85,0.829,0.7086,0.0415,0.111,0.2785,0.5689,105145,2,0.939,0.7655,0.7295,2.0252,0.4097,0.7645,0.116,2,0,**,"3,423",0.4400,0.1375,0.1971,0.0599,35.9809,187.2289,0.1029,28.8015,26.8958,177.9619,0.378,0.171,0.499,0.501,216,0.0318,231,**,26,84,169,**,**,0.0672,4.0350,0.922,0.1129,9,5,7,54,140,0.0201,0.094,0.0623,0.1103,93.0,48.6,**,47.4,0.2,0.2,0.2,0.1,0.0,1.0,0.1
Rosemead,55056,0.2036,0.6387,0.1577,0.0034,0.3416,0.0426,0.6112,0.001,0.0002,0.1604,0.4709,0.5627,0.3042,85.05,0.376,0.5329,0.3381,0.2738,0.22,0.1681,44906,1,0.907,0.5224,0.5864,1.04,0.2278,0.7333,0.097,1,1,0.1907,"11,756",0.4800,0.8226,0.1508,0.1037,42.6838,97.0608,0.1717,30.3047,20.2405,156.215,0.522,0.279,0.465,0.535,24,0.0567,303,**,14,29,12,**,8.1411,0.0585,**,0.8581,0.0519,8,**,17,58,82,0.0543,0.2881,**,0.269,17.4,**,**,33.2,0.1,0.2,0.2,0,**,0.9,0.2
Rowland Heights,51206,0.1796,0.6448,0.1756,0.0137,0.2754,0.0974,0.611,0.0008,0.0017,0.1048,0.3109,0.563,0.2732,87.08,0.608,0.5087,0.1556,0.2074,0.2744,0.3626,59534,1,0.953,0.342,0.6195,9.0224,0.2534,0.4661,0.163,0,0,**,-,-,0.6093,0.1848,0.1049,36.0658,127.8173,0.1495,24.2803,17.3051,162.919,0.452,0.213,0.67,0.33,66,**,168,**,12,85,249,3.2598,6.0181,0.0476,1.3376,0.8303,0.0422,7,**,10,40,103,0.0751,0.2713,0.1058,0.2072,44.7,**,**,30.4,0.1,0.3,0.2,0,**,0.9,0.2
San Dimas,34015,0.1753,0.6349,0.1898,0.0303,0.3262,0.5302,0.1098,0.0025,0.001,0.065,0.1275,0.1842,0.0483,80.93,0.675,0.6344,0.0793,0.1903,0.373,0.3573,78034,1,0.928,0.7477,0.7278,53.3203,0.3792,0.5041,0.153,1,1,**,"2,530",0.6200,0.3475,0.3382,0.0747,42.2057,145.7184,0.1418,31.4784,50.6981,237.047,0.385,0.174,0.743,0.257,34,0.0820,241,**,17,14,1,**,3.8351,0.0845,**,0.8895,0.0946,**,**,15,60,120,0.0214,0.1205,0.0866,0.1123,69.9,37.5,**,35.4,0.1,0.4,0.3,0.1,0.0,1.0,0.1
San Fernando,24465,0.2703,0.6303,0.0993,0.0065,0.9286,0.0529,0.0085,0.0028,0.0007,0.2043,0.5118,0.3738,0.1772,84.61,0.653,0.2743,0.4153,0.2641,0.2007,0.1198,55170,1,0.914,0.6077,0.6499,0.9884,0.3493,0.7416,0.098,0,0,0.1934,"4,479",0.6800,0.8572,0.2813,0.1114,**,**,0.109,18.6213,27.1717,189.297,0.479,0.228,0.537,0.463,24,0.0594,540,**,16,24,0,12.7082,16.2138,0.0617,**,0.8399,0.0808,**,**,-,128,304,0.0787,0.2662,0.0856,0.2539,40.5,**,**,**,0.1,0.5,0.2,0.1,0.1,0.9,0.4
San Gabriel,40309,0.1883,0.6467,0.1649,0.0092,0.2587,0.1082,0.622,0.0014,0.0006,0.119,0.3259,0.5478,0.2580,84.1,0.506,0.5534,0.2191,0.2533,0.222,0.3057,51579,1,0.925,0.3125,0.6363,0.3961,0.2524,0.7339,0.093,0,0,**,"6,719",0.3700,0.6409,0.0842,0.1167,34.4892,107.8100,0.1462,24.9097,28.4900,177.612,0.475,0.242,0.48,0.52,9,0.0537,243,**,24,31,0,**,5.4308,0.0411,**,0.8743,0.0562,9,**,14,45,125,0.0658,0.245,0.0843,0.2358,44.0,**,**,38.9,0.1,0.2,0.2,0,**,0.7,0.1
Santa Clarita,195485,0.2287,0.6579,0.1134,0.0339,0.3167,0.5568,0.0889,0.0024,0.0013,0.0954,0.2254,0.2083,0.0522,82.51,0.522,0.5548,0.1103,0.1951,0.3675,0.3271,83554,3,0.925,0.7507,0.7197,4.0211,0.3664,0.358,0.176,2,2,0.1775,"17,929",0.5100,0.3548,0.2528,0.0880,36.1169,156.4241,0.1314,31.0460,35.4848,194.445,0.42,0.176,0.675,0.325,316,0.0855,169,2,15,22,"1,174",2.8792,5.0522,0.0691,4.0288,0.8719,0.1126,10,7,11,41,99,0.0546,0.1545,0.0959,0.1675,72.7,34.3,**,40.2,0.1,0.3,0.2,0.1,0.0,0.8,0.2
Santa Monica,93409,0.1429,0.6918,0.1653,0.0374,0.1333,0.7266,0.0996,0.0019,0.0013,0.1027,0.2725,0.2329,0.0600,83.96,0.75,0.742,0.0473,0.0949,0.205,0.6527,76580,4,0.923,0.7593,0.7066,2.9308,0.4376,0.8779,0.062,4,4,0.1645,"12,333",0.2600,0.2748,0.1300,0.0588,35.3339,173.8857,0.0896,25.8042,21.5708,169.6739,0.446,0.23,0.27,0.73,712,0.0737,509,**,35,72,4,**,3.6675,0.0685,**,0.9346,0.1488,11,10,22,135,471,0.0512,0.1129,0.1140,0.1307,83.2,52.5,**,43.6,0.4,0.2,0.2,0.2,0.0,0.9,0.3
South Gate,99741,0.2797,0.6295,0.0908,0.0068,0.9499,0.0344,0.0069,0.0012,0.0007,0.1953,0.513,0.4315,0.2539,84.73,0.387,0.37,0.4763,0.2502,0.1977,0.0759,43552,2,0.886,0.5777,0.6243,1.3074,0.3181,0.7935,0.129,1,1,0.2207,"21,617",0.6600,0.8694,0.2791,0.1070,35.6138,109.2488,0.096,19.0750,25.5778,177.968,0.571,0.28,0.453,0.547,122,0.0795,662,4,11,56,2,5.9880,20.2595,0.0659,5.0686,0.8384,0.06,6,5,32,118,285,0.1008,0.3668,0.1262,0.2647,16.0,**,**,23.7,0.1,0.5,0.2,0.1,0.0,0.9,0.4
South Pasadena,25937,0.1988,0.6509,0.1503,0.0279,0.1932,0.4332,0.3443,0.0011,0.0002,0.0646,0.1645,0.2663,0.0667,85.85,0.734,0.7792,0.0455,0.1099,0.2542,0.5904,78957,1,0.956,0.7082,0.7808,1.547,0.348,0.683,0.1,1,1,**,"2,309",0.2300,0.1336,0.1306,0.0850,45.7859,154.4130,0.0927,21.1066,13.1396,163.161,0.4,0.174,0.435,0.565,9,0.0498,104,**,13,38,0,**,**,0.0682,**,0.8894,0.0857,**,**,-,56,186,0.0742,0.1561,0.1452,0.1517,87.4,28.2,**,33.6,0.2,0.2,0.3,0.1,0.0,1.0,0.2
South Whittier,58315,0.2486,0.6438,0.1076,0.0115,0.7766,0.1688,0.0392,0.0025,0.0014,0.1239,0.3821,0.268,0.0957,82.3,0.522,0.3991,0.2502,0.2909,0.3095,0.1494,62592,1,0.931,0.6849,0.6594,0.5363,0.3594,0.6969,0.087,0,0,0.1511,-,-,0.7567,0.3403,0.1240,38.2590,139.0585,0.112,26.5700,25.1578,191.873,0.445,0.211,0.64,0.36,230,0.0775,226,**,9,62,37,3.6557,15.2875,0.0765,3.9246,0.8834,0.0729,7,6,14,107,185,0.0698,0.2513,0.0875,0.1791,38.4,**,**,36.2,0.1,0.4,0.2,0.1,0.0,1.0,0.4
Temple City,36580,0.179,0.6407,0.1803,0.0072,0.1986,0.2104,0.5822,0.001,0.0006,0.0829,0.2215,0.4646,0.1721,83.7,0.555,0.6023,0.1377,0.2098,0.2799,0.3726,64372,1,0.941,0.4721,0.6702,0.4796,0.2586,0.543,0.122,1,1,**,"4,289",0.3700,0.4148,0.0996,0.1271,39.5506,146.1983,0.1304,36.6104,29.4943,182.899,0.42,0.194,0.656,0.344,19,0.0812,134,**,11,18,1,**,4.7122,0.0462,**,0.8792,0.0518,**,**,-,19,71,0.0584,0.1928,0.0602,0.1584,54.5,**,**,47.7,0.1,0.2,0.2,0,0.0,1.0,0.2
Torrance,146686,0.1949,0.6394,0.1658,0.027,0.1698,0.4157,0.3821,0.0021,0.0033,0.0622,0.1291,0.2878,0.0988,83.45,0.703,0.5967,0.0655,0.1737,0.3019,0.4589,79549,6,0.943,0.7082,0.7261,1.9775,0.3279,0.6409,0.098,2,0,0.1244,"12,500",0.3300,0.2566,0.1695,0.0792,36.1223,181.0693,0.1345,27.3976,27.0215,184.783,0.393,0.171,0.551,0.449,107,0.0622,176,2,20,90,"1,154",**,2.8872,0.0665,4.0739,0.8699,0.0625,10,5,5,50,88,0.0423,0.1257,0.0980,0.1561,76.9,37.9,**,39.4,0.1,0.3,0.3,0.1,0.0,1.0,0.1
Valinda,24747,0.2535,0.636,0.1106,0.0181,0.7942,0.0646,0.1203,0.0014,0.0015,0.0976,0.2902,0.3713,0.1078,82.62,0.57,0.4069,0.3384,0.3008,0.2404,0.1204,65849,0,0.893,0.569,0.6665,0.3818,0.3339,0.734,0.141,0,0,**,-,-,0.871,0.3750,0.1006,**,97.1630,0.0998,21.9793,18.2236,185.6737,0.4,0.197,0.783,0.217,4,0.0716,137,**,5,10,5,6.0606,13.7374,0.0784,**,0.9148,0.0666,**,**,24,111,205,0.0746,0.3011,0.0612,0.1634,47.5,**,**,**,0.1,0.4,0.2,0.1,0.0,-,0.2
Walnut,30068,0.1546,0.6639,0.1815,0.026,0.1921,0.1207,0.6593,0.0009,0.0009,0.0492,0.1496,0.4935,0.1589,87.46,0.586,0.717,0.07,0.1343,0.2717,0.5241,100184,1,0.937,0.6507,0.6796,6.7574,0.265,0.3277,0.221,1,1,**,"2,185",0.2400,0.1927,0.1930,0.0812,35.2198,169.9555,0.1171,21.0763,19.4735,144.615,0.38,0.152,0.854,0.146,3,**,83,**,5,23,5,**,**,0.0644,**,0.8531,0.0551,**,**,-,47,-,0.0398,0.1255,**,0.1534,85.3,**,**,34.3,0.1,0.2,0.2,0,**,1.0,0.1
West Covina,107688,0.2149,0.6373,0.1478,0.0408,0.5311,0.1464,0.278,0.0022,0.0014,0.0913,0.264,0.3437,0.1061,82.08,0.709,0.558,0.169,0.2452,0.3207,0.2651,69189,1,0.929,0.6566,0.6796,1.4004,0.3197,0.4549,0.092,1,1,0.1953,"13,028",0.5900,0.6783,0.2751,0.1048,41.4239,140.8912,0.1213,28.6194,31.6629,193.043,0.38,0.179,0.729,0.271,48,0.0825,246,4,11,15,7,3.0934,12.8893,0.073,4.7811,0.9011,0.0558,6,6,17,77,141,0.0578,0.2044,0.0848,0.1781,57.3,17.4,**,33.6,0.1,0.4,0.3,0.1,0.0,1.0,0.1
West Hollywood,35797,0.0639,0.7801,0.156,0.031,0.1081,0.7984,0.0603,0.0014,0.0008,0.1403,0.2798,0.2587,0.1023,85.13,0.613,0.6872,0.0456,0.0884,0.2404,0.6257,56317,1,0.921,0.7424,0.694,0.4663,0.4774,0.985,0.062,1,0,0.1896,"6,312",0.1600,0.3988,0.2207,0.0804,48.6356,157.5777,0.1123,30.5689,21.2612,176.887,0.483,0.265,0.201,0.799,81,0.0652,768,**,61,29,14,**,**,0.0882,**,0.892,0.1503,11,7,499,2193,6923,0.0503,0.1661,0.2017,0.2119,70.6,30.6,**,53.0,0.4,0.2,0.2,0.2,**,0.6,0.2
West Whittier-Los Nietos,25441,0.2426,0.6253,0.1321,0.008,0.8775,0.0954,0.0147,0.0032,0.0013,0.0912,0.2858,0.2691,0.0987,80.48,0.596,0.4428,0.2858,0.317,0.2711,0.1262,65363,2,0.939,0.668,0.6721,0.4513,0.3835,0.4991,0.107,0,0,0.1771,-,-,0.846,0.3584,0.1234,**,140.2844,0.1096,19.4198,29.9147,217.175,0.417,0.185,0.721,0.279,36,0.1183,307,**,9,26,4,6.7825,18.2281,0.075,**,0.8846,0.0791,**,**,21,167,252,0.0981,0.2549,0.0933,0.1884,41.2,**,**,**,0.1,0.4,0.2,0.1,0.0,1.0,0.3
Westmont,32835,0.2823,0.6208,0.0968,0.4945,0.4912,0.0096,0.0025,0.0012,0.0009,0.3546,0.6729,0.2324,0.1142,76.57,0.345,0.2231,0.3041,0.2962,0.3272,0.0725,26808,1,0.856,0.7186,0.5008,0.0561,0.335,0.1988,0.184,0,0,**,-,-,0.8828,0.3195,0.1852,52.7592,141.3421,0.1554,36.1859,41.7489,308.483,0.661,0.407,0.306,0.694,365,**,1514,32,7,69,15,16.0714,25.0000,0.0774,6.0514,0.7857,0.0703,**,**,41,494,675,0.0535,0.3203,0.1384,0.3067,0.6,**,**,46.9,0.2,0.4,0.3,0,0.1,0.8,0.4
Whittier,88078,0.2304,0.6385,0.1311,0.0098,0.675,0.2752,0.0361,0.0028,0.0011,0.1081,0.3274,0.177,0.0542,81.83,0.367,0.5115,0.1672,0.2376,0.3531,0.2421,66457,2,0.937,0.68,0.6929,0.9973,0.3804,0.393,0.125,1,1,0.1723,"11,826",0.5900,0.5871,0.2773,0.1291,39.3110,152.1715,0.1154,24.3178,25.8459,199.017,0.42,0.181,0.569,0.431,258,0.0836,293,3,16,63,696,3.9054,10.8235,0.0701,3.1056,0.8938,0.0756,8,6,23,99,209,0.058,0.1739,0.0890,0.1616,53.8,29.5,**,35.1,0.2,0.3,0.3,0.1,0.0,0.9,0.4
Los Angeles County,10227450,0.2253,0.6471,0.1276,0.0846,0.4876,0.2804,0.1431,0.0019,0.0024,0.1673,0.3766,0.3472,0.1374,82.33,0.5417,0.4326,0.2272,0.2068,0.2633,0.3027,56196,,0.9162,0.6403,0.6404,8.1,0.3413,0.6185,0.125,-,-,0.2922,"1,776,820",0.6600,0.6721,0.2352,0.0983,37.8681,140.5242,0.1328,27.0697,27.8900,204.8349,0.4901,0.2505,0.46,0.5403,46874,0.0737,551,6,15,-,-,8.5211,29.2264,0.0714,4.2032,0.8505,0.0861,8,7,33,180,492,0.0724,0.2528,0.1138,0.2358,-,21.6,7.7,36.4,0.1,0.4,0.2,0.1,0.0,0.8,0.3
