Subject,CatalogNo,Name,GE,MedianA,TotClasses,ClassSize
A&O SCI,1,CLIMATE CHANGE,Scientific Inquiry-Physical Sciences,0.34,10,150
A&O SCI,2,AIR POLLUTION,Scientific Inquiry-Physical Sciences,0.32,11,169
A&O SCI,3,INTR-ATMOS ENVIRMNT,Scientific Inquiry-Physical Sciences,0.3,6,65
AF AMER,6,BLACK INTLCTL THGHT,Society and Culture-Historical Analysis,0.57,2,42
AFRO-AM,6,BLACK INTLCTL THGHT,Society and Culture-Historical Analysis,0.47,3,55
AN N EA,10W,JERUSALEM-HOLY CITY,Society and Culture-Historical Analysis,0.59,24,26
AN N EA,15,WMN&PWR-ANCNT WORLD,Society and Culture-Historical Analysis,0.63,4,155
AN N EA,30,SCIENCE-ARCHAEOLOGY,Scientific Inquiry-Life Sciences,0.88,1,72
ANTHRO,7,HUMAN EVOLUTION,Scientific Inquiry-Life Sciences,0.34,10,252
ANTHRO,8,ARCHAEOLOGY-INTRO,Society and Culture-Historical Analysis,0.36,11,222
ANTHRO,9,CULTURE AND SOCIETY,Society and Culture-Social Analysis,0.39,10,226
ANTHRO,33,CULTURE&COMMUNICATN,Society and Culture-Social Analysis,0.58,10,264
APPLING,10W,LANGUAGE IN ACTION,Arts and Humanities-Philosophical and Linguistic Analysis,0.54,1,59
APPLING,30W,LANG&SOCL INTERACTN,Arts and Humanities-Philosophical and Linguistic Analysis,0.68,12,18
APPLING,40,LANGUAGE AND GENDER,Arts and Humanities-Philosophical and Linguistic Analysis,0.25,2,64
APPLING,40W,LANGUAGE AND GENDER,Arts and Humanities-Philosophical and Linguistic Analysis,0.68,12,21
APPLING,101W,LANG LEARNING&TCHNG,Arts and Humanities-Philosophical and Linguistic Analysis,0.68,11,19
ARCHEOL,30,SCIENCE-ARCHAEOLOGY,Scientific Inquiry-Life Sciences,0.92,1,94
ART,31A,MODERNISM,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.54,4,68
ART,31B,MODERNISM,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.51,3,73
ART,31C,MODERNISM,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.53,3,71
ART HIS,24,ARCHITCTR-MDRN WRLD,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.4,1,249
ART HIS,28,ARTS OF AFRICA,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.56,1,232
ART HIS,50,ANCIENT ART,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.53,2,200
ART HIS,51,MEDIEVAL ART,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.55,4,198
ART HIS,54,MODERN ART,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.49,2,283
ART HIS,55A,INTRO-AFRICAN ARTS,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.62,3,196
ART HIS,55B,INTR-PRE-COLUMB ART,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.58,2,144
ART HIS,56A,ARTS-INDIA&SE ASIA,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.76,2,284
ART HIS,56B,CHINESE ART,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.63,1,214
ART HIS,57,RENSSNC&BAROQUE ART,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.48,2,248
ART HIS,58,ARCHITCTR-MDRN WRLD,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.46,1,176
ASIA AM,10,HIST-ASIAN AMERICNS,Society and Culture-Historical Analysis,0.54,6,36
ASIA AM,20,ASIA AM COMMUNITIES,Society and Culture-Social Analysis,0.7,6,176
ASIA AM,30,ASIAN AM LIT&CULTUR,Arts and Humanities-Literary and Cultural Analysis,0.35,4,52
ASIA AM,30W,ASIAN AM LIT&CULTUR,Arts and Humanities-Literary and Cultural Analysis,0.53,3,17
ASIA AM,40,ASIAN AMER MOVEMENT,Society and Culture-Historical Analysis,0.75,4,142
ASIA AM,50,ASIAN AMERICN WOMEN,Society and Culture-Social Analysis,0.51,3,98
ASTR,3,NATURE OF UNIVERSE,Scientific Inquiry-Physical Sciences,0.32,20,132
ASTR,4,BLACK HOLES,Scientific Inquiry-Physical Sciences,0.28,7,105
ASTR,5,LIFE IN THE UNIVERS,Scientific Inquiry-Life Sciences,0.46,16,112
ASTR,6,CHANG CNCPT-UNIVERS,Scientific Inquiry-Physical Sciences,0.32,3,60
C&EE,58SL,CLIMATE CHNG&ECOSYS,Scientific Inquiry-Life Sciences,0.89,1,17
C&EE ST,91,CLTR&SOC-CNTR&E EUR,Arts and Humanities-Literary and Cultural Analysis,0.86,1,34
CEE STD,91,CLTR&SOC-CNTR&E EUR,Arts and Humanities-Literary and Cultural Analysis,0.66,2,44
CHEM,14A,EQUILBR&ACIDS&BASES,Scientific Inquiry-Physical Sciences,0.22,28,337
CHEM,14B,THRMDN&ELCTCHM&KNTC,Scientific Inquiry-Physical Sciences,0.22,18,359
CHEM,14BL,GEN&ORGN CHEM LAB 1,Scientific Inquiry-Physical Sciences,0.38,20,227
CHEM,20A,CHEMICAL STRUCTURE,Scientific Inquiry-Physical Sciences,0.26,21,249
CHEM,20AH,CHEM STRUCTURE-HNRS,Scientific Inquiry-Physical Sciences,0.61,3,31
CHEM,20B,ENERGETICS&CHANGE,Scientific Inquiry-Physical Sciences,0.22,12,194
CHEM,20BH,ENRGTCS&CHANGE-HNRS,Scientific Inquiry-Physical Sciences,0.5,3,14
CHEM,20L,GENRL CHEMISTRY LAB,Scientific Inquiry-Physical Sciences,0.32,13,203
CHICANO,10A,CHICANO HIST&CULTUR,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.73,8,396
CHICANO,10B,SOC STRUC&CONT COND,Society and Culture-Historical Analysis,0.57,6,102
CHIN,50,CHINESE CIVILIZATN,Arts and Humanities-Philosophical and Linguistic Analysis,0.56,10,150
CHIN,70,CLASSCS-CHINESE LIT,Arts and Humanities-Literary and Cultural Analysis,0.62,2,31
CHIN,70W,CLASSCS-CHINESE LIT,Arts and Humanities-Literary and Cultural Analysis,0.96,1,22
CHIN,80,CHINESE CINEMA,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.64,1,36
CIVIC,50SL,ENGAGING LA,Society and Culture-Social Analysis,0.6,2,64
CLASSIC,10,DISCOVERING GREEKS,Society and Culture-Historical Analysis,0.48,8,210
CLASSIC,20,DISCOVERING ROMANS,Society and Culture-Historical Analysis,0.35,7,200
CLASSIC,30,CLASSICAL MYTHOLOGY,Arts and Humanities-Literary and Cultural Analysis,0.38,8,200
CLASSIC,40W,READING GREEK LIT,Arts and Humanities-Literary and Cultural Analysis,0.54,2,54
CLASSIC,42,CINEMA&ANCIENT WRLD,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.49,5,126
CLASSIC,51A,ART&ARCL-ANC GREECE,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.55,2,249
CLASSIC,51B,ART&ARCHL-ANCT ROME,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.43,2,194
CLASSIC,60,FANTASTIC JOURNEY,Arts and Humanities-Literary and Cultural Analysis,0.47,3,89
CLASSIC,148,EARLY GRK MED&THGHT,Arts and Humanities-Philosophical and Linguistic Analysis,0.43,1,76
CLASSIC,185,ENGLISH VOCABULARY,Arts and Humanities-Philosophical and Linguistic Analysis,0.42,5,74
COM LIT,1B,WRD LIT-MID AGE-17C,Arts and Humanities-Literary and Cultural Analysis,0.58,2,30
COM LIT,1C,WRD LIT-ENLTNMT-20C,Arts and Humanities-Literary and Cultural Analysis,0.56,2,72
COM LIT,2AW,SRV-LT-ANTQ-MID AGE,Arts and Humanities-Literary and Cultural Analysis,0.34,3,70
COM LIT,2BW,SRV-LIT-MID AGE-17C,Arts and Humanities-Literary and Cultural Analysis,0.54,3,79
COM LIT,2CW,SRV-LIT-ENLTNMT-20C,Arts and Humanities-Literary and Cultural Analysis,0.44,8,92
COM LIT,2DW,GREAT BOOKS-WORLD,Arts and Humanities-Literary and Cultural Analysis,0.51,3,44
COMM ST,10,INTRO-COMMCTN STDS,Society and Culture-Social Analysis,0.18,16,174
DANCE,44,WORLD DANCE HIST,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.58,3,53
DESMA,8,MEDIA HISTORIES,Society and Culture-Social Analysis,0.57,3,268
DESMA,9,ART&SCIENCE&TCHNLGY,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.71,5,199
DESMA,10,DESIGN CULTURE,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.7,6,273
DUTCH,10,CONTEMP DUTCH SOCTY,Arts and Humanities-Literary and Cultural Analysis,0.54,1,13
EE BIOL,17,EVOLTN FOR EVERYONE,Scientific Inquiry-Life Sciences,0.36,3,33
EE BIOL,18,SCI-ENVRNMNT ISSUES,Scientific Inquiry-Life Sciences,0.76,4,70
EE BIOL,25,LIVING OCEAN,Scientific Inquiry-Life Sciences,0.24,3,71
ENGCOMP,5W,LIT&CLTR&CRIT INQRY,Arts and Humanities-Literary and Cultural Analysis,0.77,17,20
ENGL,10A,LIT IN ENGL TO 1700,Arts and Humanities-Literary and Cultural Analysis,0.29,10,119
ENGL,80,MAJOR AMER AUTHORS,Arts and Humanities-Literary and Cultural Analysis,0.51,5,60
ENGL,85,AMERICAN NOVEL,Arts and Humanities-Literary and Cultural Analysis,0.4,6,74
ENGL,90,SHAKESPEARE,Arts and Humanities-Literary and Cultural Analysis,0.48,4,68
ENGL,91A,INTRO TO POETRY,Arts and Humanities-Literary and Cultural Analysis,0.6,4,78
ENGL,91B,INTRO TO DRAMA,Arts and Humanities-Literary and Cultural Analysis,0.54,1,24
ENGL,91C,INTRO TO FICTION,Arts and Humanities-Literary and Cultural Analysis,0.4,7,50
ENGR,10A,COMPLEX SYSTEMS SCI,Scientific Inquiry-Physical Sciences,0.55,3,30
ENVIRON,12,SUSTNBLTY&ENVIRNMNT,Scientific Inquiry-Life Sciences,0.7,6,52
EPS SCI,1,INTRO TO EARTH SCI,Scientific Inquiry-Physical Sciences,0.33,7,70
EPS SCI,3,ASTROBIOLOGY,Scientific Inquiry-Physical Sciences,0.5,4,160
EPS SCI,8,EARTHQUAKES,Scientific Inquiry-Physical Sciences,0.31,10,114
EPS SCI,9,SOLAR SYSTM&PLANETS,Scientific Inquiry-Physical Sciences,0.41,12,69
EPS SCI,10,EXPLORING MARS,Scientific Inquiry-Physical Sciences,0.49,1,109
EPS SCI,13,NATURAL DISASTERS,Scientific Inquiry-Physical Sciences,0.17,3,79
EPS SCI,15,INTROD-OCEANOGRAPHY,Scientific Inquiry-Life Sciences,0.61,11,193
EPS SCI,16,MJR EVNTS-HIST LIFE,Scientific Inquiry-Life Sciences,0.3,3,97
EPS SCI,17,DINOSAURS&RELATIVES,Scientific Inquiry-Life Sciences,0.29,6,248
ETHNOMU,5,MUSIC AROUND WORLD,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.49,3,107
ETHNOMU,25,GLOBAL POP,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.63,7,162
ETHNOMU,30,MUSIC AND MEDIA,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.42,2,109
ETHNOMU,40,MUSIC AND RELIGION,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.68,2,57
ETHNOMU,45,MUSIC OF BOLLYWOOD,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.79,3,44
ETHNOMU,50A,JAZZ-AMERCN CULTURE,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.73,7,359
ETHNOMU,50B,JAZZ-AMERCN CULTURE,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.62,6,225
ETHNOMU,60,BACH-HIS WORLD&OURS,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.5,2,64
ETHNOMU,108B,MUSIC-LATIN AMERICA,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.57,4,52
FILM TV,106A,HIST AM MOTION PIC,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.54,13,249
FILM TV,106B,HIST EUROPE MTN PIC,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.61,3,117
FILM TV,106C,AFR&ASN&LAT AM FILM,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.54,5,39
FILM TV,108,HIST-DOCUMNTRY FILM,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.57,4,114
FILM TV,110A,AMERICAN TV HISTORY,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.62,6,74
FILM TV,112,FILM&SOCIAL CHANGE,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.52,3,104
FILM TV,113,FILM AUTHORS,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.31,1,130
FILM TV,114,FILM GENRES,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.57,6,114
FRNCH,14,INTRO-FRN CULTR&CIV,Arts and Humanities-Literary and Cultural Analysis,0.7,4,38
FRNCH,14W,INTRO-FRN CULTR&CIV,Arts and Humanities-Literary and Cultural Analysis,0.55,4,38
FRNCH,16,SCTY-ERLY MDRN FRNC,Society and Culture-Historical Analysis,0.47,3,33
FRNCH,41,FRENCH CINEMA&CULTR,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.57,6,112
FRNCH,60,FRENCH&FRANCPHN NOV,Arts and Humanities-Literary and Cultural Analysis,0.54,5,27
GE CLST,20A,INTERRCL DYNAMCS-US,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.46,4,207
GE CLST,20B,INTERRCL DYNAMCS-US,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.46,3,159
GE CLST,21A,HIST-MODERN THOUGHT,Arts and Humanities-Philosophical and Linguistic Analysis,0.48,4,182
GE CLST,21B,HIST-MODERN THOUGHT,Arts and Humanities-Philosophical and Linguistic Analysis,0.66,3,146
GE CLST,26A,PVRTY&HLTH-LATIN AM,Scientific Inquiry-Life Sciences,0.63,3,102
GE CLST,26B,PVRTY&HLTH-LATIN AM,Scientific Inquiry-Life Sciences,0.62,3,76
GE CLST,30A,PERSPECTIVE ON MYTH,Arts and Humanities-Philosophical and Linguistic Analysis,0.36,3,192
GE CLST,30B,PERSPECTIVE ON MYTH,Arts and Humanities-Philosophical and Linguistic Analysis,0.52,2,150
GE CLST,60A,AMERICA 1954-1974,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.44,4,213
GE CLST,60B,AMERICA 1954-1974,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.44,3,167
GE CLST,66A,LA-THE CLUSTER,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.49,2,170
GE CLST,66B,LA-THE CLUSTER,Arts and Humanities-Visual and Performance Arts Analysis and Practice,0.69,2,139
GE CLST,70A,COSMOS AND LIFE,Scientific Inquiry-Life Sciences,0.37,4,190
GE CLST,70B,COSMOS AND LIFE,Scientific Inquiry-Life Sciences,0.43,3,159
GE CLST,72A,SEX-BIOLOGY-SOCIETY,Scientific Inquiry-Life Sciences,0.38,2,141
GE CLST,72B,SEX-BIOLOGY-SOCIETY,Scientific Inquiry-Life Sciences,0.44,2,121
GE CLST,73A,HIST&SCI&PHIL-BRAIN,Scientific Inquiry-Life Sciences,0.26,4,141
GE CLST,73B,HIST&SCI&PHIL-BRAIN,Scientific Inquiry-Life Sciences,0.36,3,120
GE CLST,80A,FRONTRS-HUMAN AGING,Scientific Inquiry-Life Sciences,0.4,2,104
GE CLST,80A,LONGEVITY REVOLUTN,Scientific Inquiry-Life Sciences,0.42,2,84
GE CLST,80B,FRONTRS-HUMAN AGING,Scientific Inquiry-Life Sciences,0.57,1,75
GE CLST,80B,LONGEVITY REVOLUTN,Scientific Inquiry-Life Sciences,0.7,2,71
