class,difference,department,Class_Cap
"ECON 160 - MCDEVITT, E.P.",0.587274248,,
"ECON 106F - MCDEVITT, E.P.",0.584567935,,
"BIOSTAT 100A - LEE, M.L.",0.575368019,,
"EE BIOL 162 - SACK, L.",0.566651848,,
"MECH&AE 103 - KAVEHPOUR, H.P.",0.564388811,,
"MATH 1 - OWAKA, E.A.",0.557983507,,
"MATH 3C - GREENE, M.P.",0.556097197,,
"NEUROSC 102 - LEBELLE, J.",0.55044317,,
"HIST M103A - COONEY, K.M.",0.546682766,,
"COMM 1 - MILLER, T.E.",0.543,,
"PSYCH 85 - MCAULIFFE, S.P.",0.532114186,,
"PHYSICS 5C - WAUNG, R.T.",0.522415684,,
"HIST 5 - STEIN, S.A.",0.522050551,,
"HIST 191F - MOMDJIAN, M.",0.5218,,
"CHEM 14CL - HE0RY, M.M.",0.517613986,,
"JAPAN 100S - NISHIJIMA, R.",0.499,,
"CHEM 153A - GOBER, J.W.",0.493382517,,
"COMM 100 - BRYANT, G.A.",0.4929,,
"PHYSICS 1B - CORBIN, B.",0.486103103,,
"ENGL 150C - LITTLE, A.L.",0.480367932,,
"ANTHRO 126P - RASHIDI, J.S.",0.463218745,,
"STATS 10 - CHEN, M.S.",0.4621,,
"ART HIS 154D - KUMAR, A.M.",0.459007692,,
"PHYSCI 3 - COOPER, R.H.",0.45027235,,
"GEOG 1 - ROBINSON, C.M.",0.444455856,,
"PSYCH 100B - ANKOWSKI, A.N.",0.4376,,
"PSYCH 126 - TAYLOR, S.",0.433905894,,
"COM SCI 111 - REIHER, P.L.",0.420955021,,
"MATH 174E - LYU, H.",0.415415415,,
"LIFESCI 7C - GUTIERREZ, M.A.",0.409068831,,
"STATS 20 - LEW, V.",0.407987512,,
"ANTHRO 3 - BOUM, A.",0.4057,,
"AN N EA 15W - COONEY, K.M.",0.403215185,,
"MGMT 1B - GARDNER TRELOAR, J",0.403,,
"PSYCH 100B - FIRSTENBERG, I.",0.4018,,
"AF AMER 1 - PIERRE, J.",0.401629371,,
"ANTHRO 135 - BOUM, A.",0.398633634,,
"PHYSICS 1A - BELLAFARD, A.",0.390846108,,
"HIST 1B - RUIZ, T.F.",0.390219119,,
"ART 133 - LOWE, N.R.",0.389010989,,
"ASIAN M60W - HAYES, M.R.",0.387985085,,
"NEUROSC M145 - CHANDLER, S.H.",0.384673674,,
"EE BIOL 115 - DINES, J.P.",0.373469031,,
"LIFESCI 30A - SHEVTSOV, J.",0.370882883,,
"FRNCH 3 - JANSMA, K.",0.364615385,,
"DIS STD M139 - TARLETON, C.E.",0.364,,
"ANTHRO 124S - SNYDER, J.K.",0.363147863,,
"PSYCH 175 - HARRELL, S.P.",0.361939762,,
"FILM TV 122M - KELLY, R.M.",0.3614,,
"POL SCI 195CE - BAWN, K.",0.359328929,,
"GEOG 125 - LE, T.B.",0.358191433,,
"AF AMER 6 - STREETER, C.A.",0.358,,
"EDUC 413A - 0VARRO, B.A.",0.353946054,,
"PSYCH 130 - PAQUETTE-SMITH, M.",0.352205611,,
"PHYSICS 1C - ME0CHEKANIAN, E.",0.351924752,,
"STATS 100A - WU, Y.",0.350233766,,
"FRNCH 41 - JANSMA, K.",0.349190381,,
"PSYCH 116 - WONG, J.",0.348496994,,
"ENGL 119 - HUEHLS, M.A.",0.337743644,,
"PHYSICS 5B - PAU, J.T.",0.336368223,,
"PUB PLC 10C - ROWE, B.T.",0.334634635,,
"COMM 157 - PETERSON, S.M.",0.3298,,
"ANTHRO 137P - BOUM, A.",0.327550651,,
"FILM TV 122E - BURTNETT, S.S.",0.326173826,,
"PSYCH 188B - WIMER, S.",0.326126126,,
"COM HLT 48 - HERMAN, D.R.",0.325220921,,
"HIST 1C - HUNT, L.A.",0.324783784,,
"BMD RES 5HA - CLARK, I.E.",0.323957443,,
"ECON 134 - MCDEVITT, E.P.",0.31664995,,
"EDUC M103 - HUH, C.R.",0.315284715,,
"ENVIRON 25 - BASSETT, J.C.",0.3121,,
"FILM TV 84A - MANN, D.R.",0.30909938,,
"COMM 110 - KICENSKI, K.K.",0.3024,,
"STATS 100B - CHRISTOU, N.",0.296996997,,
"CHEM 14B - COUREY, A.J.",0.295828172,,
"AN N EA 10W - SCHNIEDEWIND, W.M.",0.29242997,,
"ENGR 111 - BULU-TACIROGLU, M.",0.2897,,
"ENGCOMP 100W - LOPEZ, E.M.",0.2892,,
"PHYSCI 121 - CHOE, R.",0.2872,,
"STATS 10 - CHA, M.",0.286250586,,
"LING 1 - TORRENCE, W.H.",0.28580981,,
"FRNCH 8 - JANSMA, K.",0.283104895,,
"PSYCH 20A - MANSOLF, M.A.",0.2817,,
"MGMT 160 - WILSON, N.M.",0.280108982,,
"HIST M150B - STEVENSON, B.",0.27982983,,
"STATS 100C - CHRISTOU, N.",0.275675676,,
"MGMT 120B - LU, M.",0.274623647,,
"FILM TV 33 - GRIFFIN, N.E.",0.274155556,,
"PSYCH 119V - ZAIDEL, D.",0.2737,,
"LIFESCI 7B - KANE, T.L.",0.2719,,
"HIST 13C - KELLEY, R.D.",0.267966803,,
"EE BIOL 111 - GORLITSKY, L.E.",0.266182917,,
"HLT POL 100 - MAY, J.W.",0.265837838,,
"EPS SCI 121F - YIN, A.",0.25989626,,
"PSYCH 135 - WARD, A.H.",0.259885586,,
"EPS SCI 1 - ESPOSITO, R.",0.256591491,,
"FILM TV 4 - TRICE, J.N.",0.25628477,,
"SPAN 119 - RODRIGUEZ, J.N.",0.25,,
"FRNCH 1 - JANSMA, K.",0.243622222,,
"PHYSCI 122 - DAUER, E.A.",0.242442442,,
"MAT SCI 104 - GOORSKY, M.S.",0.241371471,,
"STATS 102B - CHEN, M.S.",0.226594106,,
"PSYCH 120A - RISSMAN, J.A.",0.225226825,,
"COMM 156 - PETERSON, S.M.",0.217902204,,
"GLBL ST 1 - THIES, M.F.",0.21652012,,
"INTL DV 110 - LOFCHIE, M.F.",0.2153,,
"EE BIOL 109 - KANE, T.L.",0.213567732,,
"MCD BIO 60 - GALLAGHER, K.J.",0.211615112,,
"PSYCTRY M182 - BILDER, R.M.",0.207792208,,
"ENGCOMP 2 - MARTINEZ, A.M.",0.2059,,
"MSC IND 101 - CARLOS, C.",0.205029579,,
ENVIRON 163 - GIOTTONINI BADILLA,0.200566667,,
"STATS 101A - ESFANDIARI, M.M.",0.195232368,,
"MGMT 142B - RAVETCH, D.S.",0.1918,,
"GERMAN 59 - FUCHS, R.T.",0.186578422,,
"THEATER 10 - GORSHEIN, D.M.",0.186,,
"ENGCOMP 3 - MENDOZA, R.E.",0.1822,,
"C&EE M20 - GAO, E.X.",0.1764,,
"THEATER 72 - DANIEL, P.M.",0.176199299,,
"NURSING 13 - CARPENTER, C.L.",0.175970176,,
"THEATER 110 - GORSHEIN, D.M.",0.1742,,
"COM HLT 48 - MUTH, N.D.",0.1722,,
"COMM 148 - FERAMISCO, C.",0.169051869,,
"POL SCI 150 - SIMON, J.D.",0.164893865,,
"COMM 109 - PETERSON, S.M.",0.155998256,,
"MAT SCI 250B - YANG, J.",0.155,,
"ENGCOMP 3 - SUSSMAN, D.B.",0.1497003,,
"FILM TV 146 - BOYLE, B.",0.148591994,,
"EC ENGR 3 - BRIGGS, D.M.",0.147096047,,
"MECH&AE 171A - KIM, D.D.",0.146941059,,
"EPS SCI 9 - RUBIN, A.E.",0.146399401,,
"MSC IND 115 - MOSELEY, A.M.",0.143043043,,
"NURSING 3 - CARPENTER, C.L.",0.141911489,,
"GENDER 102 - JADALI, S.",0.141264164,,
"EE BIOL 162L - SACK, L.",0.1401,,
"POL SCI 10 - JOINES, J.A.",0.1375,,
"MGMT 180 - KINBERG, M.H.",0.1305,,
"ANTHRO 143 - BOUM, A.",0.1257,,
"ENGCOMP 100W - BALL, J.G.",0.125,,
"LIFESCI 30A - VENUGOPAL, S.",0.122569231,,
"FILM TV 33 - HUANG, G.J.",0.1225,,
"PSYCH 137C - KARNEY, B.R.",0.1219,,
"SRB CRO 103 - LEJKO-LACAN, V.",0.121451695,,
"ASTR 5 - MASHIAN, N.",0.120618113,,
"ENGR 110 - BULU-TACIROGLU, M.",0.115695395,,
"ARCH&UD CM153 - WELLS, W.R.",0.1131,,
"PSYCH 189 - HARRELL, S.P.",0.1124,,
"HIST 179B - ZELENY, C.L.",0.112,,
"ROMANIA 103 - GALATEANU, G.",0.111726274,,
"MECH&AE 150B - ZHONG, X.",0.1113,,
"STATS 20 - TSIANG, M.",0.11030671,,
"STATS 13 - TSIANG, M.",0.101957858,,
"MGMT 295A - 0THANSON, D.A.",0.0948,,
"HIST M155 - GANTNER, D.C.",0.092552248,,
"I A STD 195CE - THIES, M.F.",0.0911,,
"LIFESCI 7C - KHANKAN, R.R.",0.089510611,,
"CHEM 14A - PRADO, J.R.",0.087952953,,
"NURSING 410 - SHINNICK, M.A.",0.0871,,
"MGMT 488 - SCHEINROCK, J.I.",0.085757658,,
"COMM 10 - SUMAN, M.W.",0.0818,,
"PSYCH 129E - FREDERICK, D.A.",0.079220779,,
"JAPAN 75 - KANESAKA, K.K.",0.078435035,,
"MIMG 158 - MILLER, J.H.",0.077838078,,
"THEATER 50 - DANIEL, P.M.",0.0778,,
"EDUC 127 - MITCHELL, K.",0.072668531,,
"ENGR 211 - BULU-TACIROGLU, M.",0.067816783,,
"EE BIOL 120 - GORLITSKY, L.E.",0.066753247,,
"NURSING 175 - FREDRICKSON, J.M.",0.066,,
"EC ENGR 205A - LAUB, A.J.",0.0622,,
"ENVIRON M153 - WELLS, W.R.",0.0609,,
"FILM TV 183C - LIEBING, H.",0.0605,,
"DIS STD 101W - SOLONE, C.J.",0.057,,
"SOC GEN 5 - KELTY, C.M.",0.055598098,,
"EE BIOL 109L - KANE, T.L.",0.054472527,,
"COM SCI M51A - GHAFORYFARD, P.",0.054254254,,
"EDUC 187 - HUH, C.R.",0.052625275,,
"THEATER 72 - MAY0RD, J.E.",0.0507,,
"EPIDEM 100 - HECK, J.E.",0.050461139,,
"I A STD 31 - WOODS, D.L.",0.0498,,
"PHYSCI 166 - ESDIN, J.",0.0497,,
"MGMT 180 - FRANCIS, A.M.",0.0484,,
"CHICANO 191 - VALENZUELA, A.",0.048135764,,
"ENGR 183EW - BROWNE, D.G.",0.046359446,,
"MSC IND 55 - LEAF, D.A.",0.045050651,,
"I A STD 1 - THIES, M.F.",0.044298344,,
"FILM TV 122D - WILSON, B.D.",0.0409,,
"THEATER 120B - OLIVIERI, J.M.",0.04085163,,
"ENGCOMP 2 - SAMUELSON, M.G.",0.04,,
"PUB AFF 110 - MUKHIJA, V.",0.0395,,
"THEATER 107 - CARRIGER, M.L.",0.038967467,,
"SCAND 50W - YAMASAKI, L.J.",0.038475676,,
"CHICANO 151 - VERCHES, R.L.",0.038144444,,
"MGMTEX 439 - WACZIARG, R.T.",0.032586633,,
"MGMTEX 440 - HOLLENBECK, B.W.",0.03,,
"ENVIRON M164 - GARRISON, N.J.",0.0273,,
"DIS STD 101W - THORNTON, B.E.",0.026577578,,
"FILM TV 180A - WARD, D.A.",0.0261,,
"ECON 41 - PONOMAREV, K.",0.025033734,,
"PSYCH M139 - TARLETON, C.E.",0.024924925,,
"JAPAN 155 - SHIMA, K.M.",0.024773825,,
"ENGCOMP 100W - RODRIGUEZ DRISSI,",0.023806194,,
"ASIA AM 130A - KAO, J.",0.021591209,,
"CHEM 30A - REILLY, A.J.",0.021319102,,
"ENGL M138 - EKIMYAN, H.",0.0213,,
"COMM 105 - ARBABZADAH, N.",0.020966667,,
"MGMT 180 - MACY, B.W.",0.0183,,
"MGMT 163 - ROSTAMIAN, F.D.",0.018119381,,
"MCD BIO 50 - MCWHORTER, A.L.",0.017490609,,
"ROMANIA 103 - MANOLESCU, Z.",0.0133,,
"ENGCOMP 3 - LEHMAN, P.J.",0.013086913,,
"THEATER 50 - MAY0RD, J.E.",0.0129,,
"ASIA AM 30W - WELTY, L.",0.003996004,,
"EDUC 443 - COOPER, R.",0,,
"EDUC 448A - FRANKE, M.L.",0,,
"EDUC 448A - ROGERS, J.S.",0,,
"EDUC 414E - SEPLOW, S.L.",0,,
"EDUC 414A - HARRIS, J.C.",0,,
"EDUC 412 - SAX, L.J.",0,,
"EDUC 596 - HIPOLITO, E.D.",0,,
"AF AMER 188A - GREEN, C.D.",0,,
"MGMT 182 - ULLMEN, J.B.",0,,
"MGMT 180 - ULLMEN, J.B.",0,,
"FILM TV 183A - FRANKLIN, A.S.",0,,
"MECH&AE 256F - GUPTA, V.",0,,
"MUSC 7 - KROUSE, I.",0,,
"MED 180 - MORENO, G.",0,,
"ETHNMUS 168F - KAUSHAL, A.",0,,
"ETHNMUS 168A - LI, C.",0,,
"ENGR 203 - SILVERMAN, S.J.",0,,
"ENGR 206 - KUNG, K.C.",0,,
"MGMT 180 - GEBHARDT, C.",0,,
"EDUC 98 - TUNSTALL, J.D.",-0.0001,,
"PSYCTRY 175 - BELZER, M.G.",-0.0039,,
"EDUC 92F - AMAH, I.A.",-0.004267467,,
"PUB AFF 10 - COVINGTON, K.L.",-0.005634976,,
"MGMTEX 440 - GOLDSTEIN, N.J.",-0.009115015,,
"ECON 122 - MCDEVITT, E.P.",-0.010184934,,
"CHICANO M155A - ORTIZ, V.",-0.010856344,,
"SPAN 170 - DE LA TORRE, L.",-0.011059111,,
"THEATER 120A - OLIVIERI, J.M.",-0.01614491,,
"COM SCI 33 - GHAFORYFARD, P.",-0.01672993,,
"FILM TV 122E - CANNON, P.J.",-0.018531919,,
"MGMTEX 440 - GEIS, G.T.",-0.018818819,,
"EDUC 470A - LONON, E.",-0.0201,,
"PSYCH 136A - SMURDA, J.D.",-0.021267367,,
"EC ENGR 232E - ROYCHOWDHURY, V.P.",-0.022155022,,
"POL SCI 119 - NORTON, A.D.",-0.023376623,,
"NURSING 164 - KNOLL, M.P.",-0.02383017,,
"CHIN M60 - HSU, P.W.",-0.025292308,,
"STATS 421B - MC CLUSKEY, T.J.",-0.0255,,
"CHICANO 100SL - GONZALEZ, O.O.",-0.0261,,
"CHICANO CM106 - CASAS, R.P.",-0.026131926,,
"FILM TV 183A - CRESWICK, A.",-0.0289999,,
"POL SCI 40 - LEUNG, V.",-0.030530531,,
"FILM TV 101A - MALONE, M.E.",-0.033866134,,
"MGMT 88 - FREIXES, G.",-0.034770729,,
"ASIA AM M129 - DO, A.H.",-0.0408,,
"MGMT 180 - FOROUZANDEH, F.",-0.04108961,,
"NURSING 470A - BUSH, N.",-0.0427,,
"RELIGN 11 - POLK, P.",-0.0489,,
"NURSING 50 - JUNG, S.",-0.051259259,,
"ASIA AM 10 - DEGUZMAN, J.",-0.0581,,
"MCD BIO 100 - MCWHORTER, A.L.",-0.062197197,,
"ENGCOMP 1 - DICKEY, D.",-0.062676476,,
"CHEM 96 - CORBIN, B.",-0.064686373,,
"ART HIS C142B - ROSENBLUM, B.T.",-0.069118282,,
"ESL 25 - KELLEY, J.C.",-0.075,,
"CHEM 88A - CORBIN, B.",-0.075995504,,
"MGMTEX 440 - BLEVINS, J.",-0.076826374,,
"NURSING 268 - CUENCA, E.L.",-0.0786,,
"POL SCI 122A - SHEVCHENKO, A.V.",-0.079025948,,
"MGMTEX 440 - LEE, J.J.",-0.08267968,,
"POL SCI 135 - SHEVCHENKO, A.V.",-0.092268232,,
"MGMT 241A - KRAMER, T.D.",-0.0944,,
"MCD BIO 90 - HOOSHMAND, M.J.",-0.094514815,,
"ENGR 116 - DOLECEK, L.",-0.0971,,
"NURSING 165 - JACOB, E.",-0.09875964,,
"MSC IND 112A - PASTER0K, N.J.",-0.098813213,,
"PHYSICS 4BL - ARISAKA, K.",-0.0994996,,
"EDUC 120 - CORTES, A.E.",-0.102908108,,
"URBN PL 141 - 0KAOKA, S.J.",-0.103903904,,
"NURSING 408 - KEE0N, C.K.",-0.1071,,
"MED 185 - HUI, K.P.",-0.110243544,,
"NURSING 465C - SHINNICK, M.A.",-0.113646947,,
"COMM 166 - PETERSON, S.M.",-0.1174,social,
"PHYSCI 136 - ESDIN, J.",-0.119855145,life_science,
"PSYCH 10 - PAQUETTE-SMITH, M.",-0.123148299,social,
"FILM TV 178 - FINELL, M.A.",-0.139374139,humanities,
"MGMT 142A - RAVETCH, D.S.",-0.151887313,other,
"URBN PL 121 - MUKHIJA, V.",-0.152152152,other,
"LING 120C - O'LEARY, M.C.",-0.1615,social,
"ASL 8 - LEWIS, B.J.",-0.172812713,humanities,
"ARCH&UD 401 - ENNEMOSER, B.",-0.1796,other,
"PHYSCI 5 - ESDIN, J.",-0.2476,life_science,
"STATS 100B - ALMOHALWAS, A.M.",-0.261981019,physical,
"MGMT 286 - UNZUETA, M.M.",-0.273961762,other,
"MECH&AE 156A - MAL, A.K.",-0.282824024,engineering,
"SPAN 150 - DE LA TORRE, L.",-0.2883,humanities,
"EDUC 129 - PURDY, W.C.",-0.340559441,social,
"FILM TV 122D - SMALLEY, K.L.",-0.369,humanities,
"WL ARTS 33 - SHORTER, D.D.",-0.381738382,humanities,
"GEOG M149 - OSMAN, T.",-0.425,social,
"MUSC 3 - KROUSE, I.",-0.632,humanities,
"MECH&AE C296A - GHONIEM, N.M.",-0.698985986,engineering,
"DIS STD M148 - SCHOTTMILLER, C.D.",-0.7501,social,
"DIS STD M148 - Schottmiller, C.D.",-0.7501,social,
"MECH&AE C296A - Ghoniem, N.M.",-0.698985986,engineering,
"MUSC 3 - Krouse, I.",-0.632,humanities,
"GEOG M149 - Osman, T.",-0.425,social,
"WL ARTS 33 - Shorter, D.D.",-0.381738382,humanities,
"FILM TV 122D - Smalley, K.L.",-0.369,humanities,
"EDUC 129 - Purdy, W.C.",-0.340559441,social,
"SPAN 150 - De La Torre, L.",-0.2883,humanities,
"MECH&AE 156A - Mal, A.K.",-0.282824024,engineering,
"MGMT 286 - Unzueta, M.M.",-0.273961762,other,
"STATS 100B - Almohalwas, A.M.",-0.261981019,physical,
"PHYSCI 5 - Esdin, J.",-0.2476,life_science,
ARCH&UD 401 - Ennemoser B.,-0.1796,other,
"ASL 8 - Lewis, B.J.",-0.172812713,humanities,
"LING 120C - O'Leary, M.C.",-0.1615,social,
"URBN PL 121 - Mukhija, V.",-0.152152152,other,
"MGMT 142A - Ravetch, D.S.",-0.151887313,other,
"FILM TV 178 - Finell, M.A.",-0.139374139,humanities,
"PSYCH 10 - Paquette-Smith, M.",-0.123148299,social,
"PHYSCI 136 - Esdin, J.",-0.119855145,life_science,
"COMM 166 - Peterson, S.M.",-0.1174,social,
