,Female,Male,American Indian,Asian,Black,Latino,2+,Unknown,White,Total
ALL,0.3926177495754759,0.6073822504245241,0.006122084189829296,0.19134864599159887,0.038698721959066935,0.06725355259629993,0.002636518008758602,0.04464205916525159,0.6493431048351058,1.0
AEROSPACE STUDIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFRICAN AMERICAN STUDIES,0.48,0.53,0.0,0.03,0.6799999999999999,0.1,0.1,0.05,0.0,1.0
AMERICAN INDIAN STUDIES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
ANDERSON,0.19741379310344825,0.8025862068965517,0.0,0.13103448275862067,0.009482758620689657,0.08448275862068966,0.0,0.01293103448275862,0.7629310344827587,1.0
ANTHROPOLOGY,0.5026455026455027,0.49735449735449744,0.052910052910052914,0.12698412698412698,0.052910052910052914,0.052910052910052914,0.0,0.0925925925925926,0.634920634920635,1.0
ARCHITECTURE & URBAN DESIGN,0.2815533980582524,0.7184466019417476,0.0,0.13915857605177995,0.0,0.06472491909385114,0.0,0.03236245954692557,0.7637540453074434,1.0
ARCHAEOLOGY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ART,0.43243243243243246,0.5675675675675675,0.0,0.0,0.05405405405405406,0.07027027027027027,0.03783783783783783,0.07027027027027027,0.7621621621621621,1.0
ART HISTORY,0.55,0.45,0.0,0.20625,0.05,0.03125,0.0,0.0625,0.64375,1.0
ASIAN AMERICAN STUDIES,0.75,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ASIAN LANGUAGES AND CULTURES,0.5756929637526652,0.4221748400852879,0.0,0.6460554371002133,0.0,0.0,0.0,0.0,0.3539445628997868,1.0
ATMOSPHERIC AND OCEANIC SCIENCES,0.18539325842696627,0.8146067415730337,0.0,0.2247191011235955,0.0,0.028089887640449437,0.0,0.14044943820224717,0.6067415730337079,1.0
BIOENGINEERING,0.15748031496062992,0.84251968503937,0.0,0.35433070866141736,0.0,0.0,0.0,0.11023622047244094,0.5354330708661418,1.0
BIOSTATISTICS,0.38461538461538464,0.6153846153846154,0.0,0.3076923076923077,0.0,0.07692307692307693,0.0,0.0,0.6153846153846154,1.0
CA CENTER FOR POPULATION RESEARCH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANCER PREVENTION & CONTROL RES,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,1.0
CENTER FOR JEWISH STUDIES,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
CHEMICAL AND BIOMOLECULAR ENGINEERING,0.2362204724409449,0.7637795275590551,0.0,0.42519685039370086,0.0,0.07874015748031496,0.0,0.0,0.49606299212598426,1.0
CHEMISTRY AND BIOCHEMISTRY,0.27860696517412936,0.7263681592039801,0.0,0.15754560530679934,0.03316749585406302,0.01658374792703151,0.0,0.04145936981757877,0.7512437810945274,1.0
CHICANA/O STUDIES,0.6086956521739131,0.3913043478260869,0.018633540372670804,0.0,0.04347826086956521,0.9192546583850931,0.0,0.0,0.018633540372670804,1.0
CHICANO STUDIES RESEARCH CENTER,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Civil & Enviornmental Engr,0.20168067226890754,0.8025210084033614,0.0,0.29411764705882354,0.08403361344537814,0.0,0.0,0.15966386554621848,0.4663865546218487,1.0
Classics,0.4716981132075472,0.5283018867924528,0.0,0.0,0.0,0.06289308176100629,0.0,0.0440251572327044,0.89937106918239,1.0
Communication Studies,0.2857142857142857,0.7142857142857142,0.0,0.12755102040816327,0.0,0.0,0.0,0.0663265306122449,0.8061224489795918,1.0
Community Health Sciences,0.6467065868263474,0.3473053892215569,0.0,0.17964071856287425,0.1377245508982036,0.07784431137724551,0.0,0.017964071856287425,0.5808383233532934,1.0
Comparative Literature,0.5175438596491229,0.4824561403508772,0.0,0.11403508771929824,0.0,0.07017543859649122,0.0,0.0,0.8245614035087719,1.0
Computer Science,0.11702127659574468,0.8829787234042553,0.0,0.3191489361702127,0.0,0.0,0.0,0.010638297872340425,0.6702127659574467,1.0
"Dean, Div of Humanities",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
"Dean, GSE&IS",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Dean, HASOM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dean, HSSEAS",0.14705882352941177,0.8529411764705882,0.0,0.4411764705882353,0.0,0.0,0.0,0.0,0.5294117647058824,1.0
"Dean, LSPA",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Dean, STFT",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Dental Clinic,0.23529411764705885,0.7647058823529412,0.0,0.7647058823529412,0.0,0.0,0.0,0.0,0.23529411764705885,1.0
Dental Clinic-Off Campus,0.5384615384615384,0.4615384615384615,0.0,0.4615384615384615,0.0,0.0,0.0,0.0,0.5384615384615384,1.0
Dental Research Inst,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Dentistry,0.3390970220941402,0.6609029779058597,0.0,0.46589817483189244,0.011527377521613834,0.07780979827089338,0.0,0.007684918347742556,0.43804034582132567,1.0
Design | Media Arts,0.42857142857142855,0.5714285714285714,0.0,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.0,0.7857142857142857,1.0
Duchenne Musc Dyst Research Cntr (DMD Center),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Earth, Planetary & Space Sciences (EPSS)",0.21487603305785125,0.7851239669421488,0.0,0.14462809917355374,0.0,0.0,0.0,0.04132231404958678,0.8140495867768595,1.0
Ecology & Evol Biology,0.3524096385542168,0.6475903614457831,0.0,0.0753012048192771,0.0,0.09036144578313252,0.0,0.01506024096385542,0.8192771084337348,1.0
Economics,0.1832579185520362,0.8167420814479638,0.0,0.14705882352941174,0.0,0.11312217194570134,0.0,0.09049773755656108,0.6493212669683257,1.0
Education,0.5860597439544809,0.41394025604551926,0.0,0.15647226173541964,0.14509246088193456,0.17496443812233287,0.032716927453769556,0.01422475106685633,0.47795163584637274,1.0
Educational Initiatives,0.8064516129032258,0.1935483870967742,0.0,0.16129032258064516,0.0,0.0,0.0,0.0,0.8387096774193549,1.0
Electrical and Computer Engineering,0.1434108527131783,0.8565891472868218,0.007751937984496124,0.38953488372093026,0.0,0.0,0.0,0.01937984496124031,0.5833333333333334,1.0
English,0.4565560821484992,0.5434439178515008,0.0,0.0995260663507109,0.07898894154818326,0.07740916271721959,0.0,0.03949447077409163,0.703001579778831,1.0
Environmental Health Sciences,0.22727272727272727,0.7727272727272726,0.0,0.056818181818181816,0.11363636363636363,0.0,0.0,0.11363636363636363,0.7159090909090908,1.0
Epidemiology,0.65,0.35,0.0,0.1375,0.0875,0.0,0.0,0.125,0.65,1.0
Ethnomusicology,0.298804780876494,0.701195219123506,0.0398406374501992,0.14342629482071712,0.21912350597609562,0.14342629482071712,0.0,0.06772908366533864,0.3864541832669322,1.0
"Film, TV, & Digital Media",0.4698492462311558,0.5301507537688442,0.0,0.0829145728643216,0.07537688442211056,0.0628140703517588,0.0,0.0,0.7788944723618091,1.0
Fowler Museum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French and Francophone Studies,0.6610169491525423,0.3389830508474576,0.0,0.0,0.0847457627118644,0.0,0.0,0.0,0.9152542372881356,1.0
Gender Studies,0.9367088607594937,0.06329113924050632,0.08227848101265822,0.3481012658227848,0.06329113924050632,0.06329113924050632,0.0,0.09493670886075949,0.3481012658227848,1.0
Geography,0.35294117647058826,0.6470588235294118,0.0,0.11764705882352941,0.0392156862745098,0.0392156862745098,0.0,0.0784313725490196,0.7254901960784313,1.0
Germanic Languages,0.5,0.5,0.0,0.11363636363636363,0.0,0.056818181818181816,0.0,0.11363636363636363,0.7159090909090908,1.0
Getty Convservation Program,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Health Policy & Management,0.6513761467889908,0.3440366972477064,0.0,0.1055045871559633,0.0,0.05963302752293578,0.0,0.05045871559633028,0.7798165137614679,1.0
Health Policy Research Center,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
History,0.3515625,0.6484375,0.0,0.1015625,0.0625,0.046875,0.0,0.046875,0.7421875,1.0
Honors Programs,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Indo-European Studies,0.29411764705882354,0.7058823529411765,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Information Studies,0.6363636363636364,0.36363636363636365,0.0,0.0787878787878788,0.06060606060606061,0.01818181818181818,0.0,0.0,0.8363636363636364,1.0
Institute for Pure & Applied Math,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Inst for Res on Labor & Employment,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6,1.0
Inst for Society & Genetics,0.7282608695652175,0.27173913043478265,0.0,0.05434782608695653,0.0,0.0,0.0,0.2173913043478261,0.7282608695652175,1.0
Inst for Technology Advancement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inst of Environ & Sustainability,0.496,0.504,0.0,0.12,0.08,0.04,0.0,0.136,0.624,1.0
Inst for Geophysics & Planetary Physics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Institute for Archaeology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Int Biology & Physiology,0.3877551020408163,0.6122448979591837,0.0,0.14285714285714285,0.08163265306122448,0.04081632653061224,0.0,0.0,0.7346938775510204,1.0
Interdepartmental Degree Programs (IDPs),0.75,0.25,0.0,0.5,0.0,0.0,0.0,0.25,0.25,1.0
Interdepartmental Program - Social Sciences,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italian,0.5762711864406779,0.423728813559322,0.0,0.1694915254237288,0.0,0.0,0.0,0.0,0.8305084745762712,1.0
Joint Inst Reg Earth Syst Sci/Engr (JIFRESSE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Law,0.40445859872611467,0.5955414012738853,0.010615711252653927,0.09447983014861996,0.058386411889596604,0.045647558386411886,0.010615711252653927,0.014861995753715497,0.7643312101910827,1.0
"Lesbian, Gay & Bisexual Studies",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Life Sciences Core Crclm Prgm,0.6164383561643836,0.3835616438356164,0.0,0.3150684931506849,0.0,0.0,0.0,0.0,0.684931506849315,1.0
Linguistics,0.5103734439834025,0.4896265560165975,0.0,0.15767634854771784,0.08298755186721991,0.02074688796680498,0.0,0.04149377593360996,0.6970954356846473,1.0
Luskin Cntr for Innovation,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Materials Science & Engr (MSE),0.2676056338028169,0.7323943661971831,0.0,0.5211267605633804,0.0,0.07042253521126761,0.0,0.07042253521126761,0.3450704225352113,1.0
Mathematics,0.11229946524064172,0.8877005347593583,0.0,0.27807486631016043,0.0106951871657754,0.016042780748663103,0.0,0.0427807486631016,0.6524064171122995,1.0
Mechanical & Aerospace Engr (MANE),0.11340206185567012,0.88659793814433,0.0,0.45103092783505155,0.0,0.0,0.0,0.04639175257731959,0.5025773195876289,1.0
"Microbiology, Immunology & Molecular Genetics (MIMG)",0.2807017543859649,0.7192982456140351,0.0,0.2807017543859649,0.0,0.03508771929824561,0.0,0.0,0.6842105263157895,1.0
Military Science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minor in Biomedical Research,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,1.0
"Molecular, Cell & Develop Biology (MCDB)",0.42857142857142855,0.5714285714285714,0.0,0.21428571428571427,0.03571428571428571,0.10714285714285714,0.0,0.0,0.6428571428571429,1.0
Music,0.3007518796992481,0.6992481203007519,0.0,0.09774436090225563,0.015037593984962405,0.015037593984962405,0.0,0.13032581453634087,0.7343358395989975,1.0
Musicology,0.43243243243243246,0.5743243243243243,0.02702702702702703,0.06756756756756756,0.06756756756756756,0.0,0.0,0.06081081081081081,0.777027027027027,1.0
Naval Science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nazarian Center for Israel Studies (NCIS),0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Neuroscience Interdepartmental Prog,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Nr Eastern Langs & Cultures,0.5755102040816327,0.4244897959183674,0.0,0.04081632653061224,0.0,0.0,0.0,0.08163265306122448,0.8775510204081632,1.0
Nursing,0.8935108153078203,0.1064891846921797,0.033277870216306155,0.20299500831946754,0.064891846921797,0.08319467554076539,0.0,0.026622296173044926,0.5890183028286189,1.0
Occupational & Envtl Health Cntr (CTR O&EH),0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Philosophy,0.2549019607843137,0.7450980392156863,0.0,0.0392156862745098,0.0,0.0,0.0,0.0,0.9019607843137255,1.0
Physics & Astronomy,0.140117994100295,0.859882005899705,0.0,0.20206489675516223,0.0,0.029498525073746312,0.0,0.013274336283185842,0.7684365781710915,1.0
Political Science,0.3200883002207506,0.6799116997792495,0.0,0.05518763796909493,0.02207505518763797,0.033112582781456956,0.0,0.11037527593818985,0.7792494481236203,1.0
Program in Computing,0.25641025641025644,0.7435897435897436,0.0,0.25641025641025644,0.0,0.25641025641025644,0.0,0.0,0.48717948717948717,1.0
Psychology,0.5569800569800569,0.443019943019943,0.0,0.18518518518518517,0.02849002849002849,0.054131054131054124,0.0,0.0,0.7321937321937322,1.0
Public Health,0.25,0.7499999999999999,0.0,0.0,0.0,0.0,0.0,0.25,0.7499999999999999,1.0
Public Policy,0.33593749999999994,0.6640625,0.15625,0.234375,0.078125,0.0,0.0,0.0,0.53125,1.0
Scandanavian Section,0.35,0.65,0.0,0.35,0.0,0.0,0.0,0.0,0.65,1.0
"School-wide Programs, LSPA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Slavic, East European & Eurasian Langs",0.6153846153846154,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.24786324786324787,0.7521367521367522,1.0
Social Welfare,0.735,0.265,0.0,0.1,0.16499999999999998,0.1,0.0,0.1,0.5349999999999999,1.0
Sociology,0.44999999999999996,0.55,0.05555555555555555,0.08333333333333333,0.05555555555555555,0.07777777777777778,0.0,0.013888888888888888,0.7138888888888889,1.0
Spanish & Portuguese,0.45569620253164556,0.5443037974683543,0.0,0.03164556962025316,0.0,0.5316455696202531,0.0,0.06962025316455696,0.36708860759493667,1.0
Statistics,0.3333333333333333,0.6666666666666666,0.0,0.3111111111111111,0.0,0.06666666666666667,0.0,0.28888888888888886,0.3333333333333333,1.0
Study of Religion,0.36363636363636365,0.6363636363636362,0.0,0.0,0.0,0.0,0.0,0.6363636363636362,0.36363636363636365,1.0
Theater,0.4252873563218391,0.574712643678161,0.02873563218390805,0.09195402298850576,0.0574712643678161,0.10919540229885058,0.0,0.034482758620689655,0.67816091954023,1.0
Urban Planning,0.4108108108108108,0.5891891891891892,0.0,0.1891891891891892,0.05405405405405406,0.05405405405405406,0.0,0.08108108108108109,0.6216216216216216,1.0
World Arts & Cultures/Dance,0.5086206896551725,0.48706896551724144,0.0,0.20258620689655174,0.07758620689655173,0.07327586206896551,0.0,0.0,0.646551724137931,1.0
Writing Program,0.7017543859649124,0.29824561403508776,0.0,0.02255639097744361,0.0,0.09022556390977444,0.0,0.15037593984962405,0.7117794486215538,1.0
