"name","address","start","end","gcode","lat","long","status","contains"
"Home Business","969 HILGARD AVENUE,LOS ANGELES,CA,90024","03/04/1997","08/31/2018","969, Hilgard Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0624301864616,-118.441578387567,"closed",0
"Home Business","972 HILGARD AVENUE,LOS ANGELES,CA,90024","09/01/2012","07/01/2018","972, Hilgard Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0623108944174,-118.441397586243,"closed",0
"WILD FLOWER EVENTS, LLC","476 COMSTOCK AVENUE,LOS ANGELES,CA,90024","03/31/2008","12/31/2018","476, Comstock Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0741225948902,-118.432238030346,"closed",1
"Home Business","1031 BROXTON AVENUE,LOS ANGELES,CA,90024","01/01/2018","07/01/2018","1031, Broxton Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.06186905,-118.446977405269,"closed",0
"Home Business","1536 MALCOLM AVENUE,LOS ANGELES,CA,90024","07/28/2017","09/01/2018","1536, Malcolm Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0547648163265,-118.438488163265,"closed",0
"MID MARK CONSULTING INC","10717 WILSHIRE BLVD,LOS ANGELES,CA,90024","04/06/2016","12/31/2018","10717, Wilshire Boulevard, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.060764451355,-118.436555642333,"closed",1
"ISABELLA BEVERLY HILLS LLC","1300 MIDVALE AVENUE,LOS ANGELES,CA,90024","06/20/2018","09/28/2018","1300, Midvale Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.056461,-118.444345,"closed",1
"Home Business","10911 WELLWORTH AVENUE,LOS ANGELES,CA,90024","01/01/2016","10/01/2018","10911, Wellworth Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05695875,-118.443228416667,"closed",0
"RHODIUM MANAGEMENT INC","10960 WILSHIRE BLVD,LOS ANGELES,CA,90024","09/20/2017","08/30/2018","Equinox Building, 10960, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05787365,-118.445925726254,"closed",1
"JUMPING FOOL COMPANY INC","10866 WILSHIRE BLVD,LOS ANGELES,CA,90024","01/01/2009","12/31/2018","10866, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0591843846154,-118.442019384615,"closed",1
"AJA INC","970 GAYLEY AVENUE,LOS ANGELES,CA,90024","01/02/2008","08/28/2018","970, Gayley Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0622965714286,-118.448007428571,"closed",1
"GLOBAL KORP INC","10866 WILSHIRE BLVD,LOS ANGELES,CA,90024","10/15/2018","12/31/2018","10866, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0591843846154,-118.442019384615,"closed",1
"Home Business","1437 WESTWOOD BLVD,LOS ANGELES,CA,90024","03/02/1993","09/14/2018","1437, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0547956938776,-118.441408693878,"closed",0
"SPEEDEX LOGISTICS INC","1437 WESTWOOD BLVD,LOS ANGELES,CA,90024","06/01/2001","09/14/2018","1437, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0547956938776,-118.441408693878,"closed",1
"Home Business","10448 KINNARD AVENUE,LOS ANGELES,CA,90024","01/01/2004","12/31/2018","10448, Kinnard Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0589213265306,-118.427088857143,"closed",0
"LUXURY VALET, INC","10667 EASTBORNE AVENUE,LOS ANGELES,CA,90024","05/08/2015","01/01/2018","10667, Eastborne Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0538010612245,-118.431530040816,"closed",1
"ONE BEACON ENTERTAINMENT","1100 GLENDON AVENUE,LOS ANGELES,CA,90024","01/24/2010","07/27/2018","Westwood Center, 1100, Glendon Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0605418,-118.443495411629,"closed",1
"NEWCAL INVESTMENT, INC.","1563 WESTWOOD BLVD,LOS ANGELES,CA,90024","09/13/2018","12/17/2018","1563, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0530216764706,-118.4398815,"closed",1
"Home Business","1650 VETERAN AVENUE,LOS ANGELES,CA,90024","05/01/1991","02/22/2018","1650, Veteran Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0506419220232,-118.441489953549,"closed",0
"ASPIRE RIGHT INC","10880 WILSHIRE BLVD,LOS ANGELES,CA,90024","07/05/2005","06/30/2018","U.S. Coast Guard - Motion Picture and Television Office, 10880, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.058617,-118.4432767,"closed",1
"Home Business","1377 S BEVERLY GLEN BLVD,LOS ANGELES,CA,90024","02/10/2007","12/31/2018","1377, South Beverly Glen Boulevard, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.062679162774,-118.426425118461,"closed",0
"STACY W. BOWER REGISTERED NURSING INC","1516 WESTWOOD BLVD,LOS ANGELES,CA,90024","08/13/2007","08/31/2018","1516, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0538699183673,-118.44036944898,"closed",1
"AQUARIUS CONTENT, LLC","1033 GAYLEY AVENUE,LOS ANGELES,CA,90024","01/30/2018","12/31/2018","1033, Gayley Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.061224,-118.447742141384,"closed",1
"RTTV AMERICA INC","10940 WILSHIRE BLVD,LOS ANGELES,CA,90024","03/09/2010","12/31/2018","The Tower, 10940, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05804765,-118.445077273047,"closed",1
"A & S INVESTMENT CORPORATION","10671 HOLMAN AVENUE,LOS ANGELES,CA,90024","06/01/1999","12/30/2018","10671, Holman Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0550011624863,-118.432855231715,"closed",1
"Home Business","1610 S BEVERLY GLEN BLVD,LOS ANGELES,CA,90024","02/01/1973","12/31/2018","1610, South Beverly Glen Boulevard, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0594735293274,-118.424889766036,"closed",0
"Home Business","1276 DEVON AVENUE,LOS ANGELES,CA,90024","08/27/2014","12/31/2018","1276, Devon Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0651338326702,-118.42620602213,"closed",0
"Home Business","1610 S BEVERLY GLEN BLVD,LOS ANGELES,CA,90024","12/01/1974","12/31/2018","1610, South Beverly Glen Boulevard, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0594735293274,-118.424889766036,"closed",0
"BLISS MFG INC","10917 LINDBROOK DRIVE,LOS ANGELES,CA,90024","03/01/2014","11/20/2018","Nature's Way Café, 10917, Lindbrook Drive, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0596412,-118.445166,"closed",1
"Home Business","10561 KINNARD AVENUE,LOS ANGELES,CA,90024","01/01/2000","12/31/2018","10561, Kinnard Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0571615416667,-118.42996025,"closed",0
"PRIVE MEDISPA INC","1762 WESTWOOD BLVD,LOS ANGELES,CA,90024","11/03/2008","12/31/2018","1762, Westwood Boulevard, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0506534285714,-118.437595959184,"closed",1
"ZOOM LAUNDRY SYSTEMS LLC","10866 WILSHIRE BLVD,LOS ANGELES,CA,90024","04/22/2010","05/08/2018","10866, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0591843846154,-118.442019384615,"closed",1
"NF CALIFORNIA LLC","1114 GAYLEY AVENUE,LOS ANGELES,CA,90024","12/01/1999","02/23/2018","Native Foods, 1114, Gayley Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0599185,-118.446004,"closed",1
"AERO CARGO INC","10560 WILSHIRE BLVD,LOS ANGELES,CA,90024","04/01/1994","09/10/2018","10560, Wilshire Boulevard, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.062387,-118.432843,"closed",1
"Home Business","10676 WILKINS AVENUE,LOS ANGELES,CA,90024","01/01/2009","01/01/2018","10676, Wilkins Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0563785926136,-118.433912594962,"closed",0
"THE ASHWOOD SEVEN LLC","10866 WILSHIRE BLVD,LOS ANGELES,CA,90024","01/01/2013","09/24/2018","10866, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0591843846154,-118.442019384615,"closed",1
"ZOE-S INC","780 MALCOLM AVENUE,LOS ANGELES,CA,90024","10/07/2016","12/31/2018","780, Malcolm Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0664383841521,-118.438153359752,"closed",1
"Home Business","1055 BROXTON AVENUE,LOS ANGELES,CA,90024","09/01/2016","12/31/2018","Ami Sushi, 1055, Broxton Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0614911,-118.446441,"closed",0
"MARIA ELIZABETH COYOY","850 S BEVERLY GLEN BLVD,LOS ANGELES,CA,90024","03/15/2013","06/01/2018","850, South Beverly Glen Boulevard, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0683241919192,-118.429652262626,"closed",1
"AUTHENTIK INC","10866 WILSHIRE BLVD,LOS ANGELES,CA,90024","01/01/2017","12/31/2018","10866, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0591843846154,-118.442019384615,"closed",1
"Home Business","10530 WILSHIRE BLVD,LOS ANGELES,CA,90024","03/01/2015","12/31/2018","10530, Wilshire Boulevard, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0633413103448,-118.432473448276,"closed",0
"SIMPLICITE GLOBAL LLC","10748 ASHTON AVENUE,LOS ANGELES,CA,90024","06/01/2017","10/31/2018","10748, Ashton Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.059254,-118.437388,"closed",1
"PACIFIC CREDIT GROUP, LLC","10866 WILSHIRE BLVD,LOS ANGELES,CA,90024","09/23/2014","06/15/2018","10866, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0591843846154,-118.442019384615,"closed",1
"EVERGREEN KKC ENTERPRISE INC","10911 LINDBROOK DRIVE,LOS ANGELES,CA,90024","06/02/2009","12/31/2018","Yogurtland, 10911, Lindbrook Drive, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0596955,-118.4451035,"closed",1
"KOALA TEA INC","359 VETERAN AVENUE,LOS ANGELES,CA,90024","09/04/2013","12/20/2018","359, Veteran Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.071096,-118.455165183673,"closed",1
"25TH AVENUE ASSOCIATES LLC","10960 WILSHIRE BLVD,LOS ANGELES,CA,90024","01/01/2007","02/01/2018","Equinox Building, 10960, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05787365,-118.445925726254,"closed",1
"Home Business","10960 WILSHIRE BLVD,LOS ANGELES,CA,90024","05/31/1984","05/01/2018","Equinox Building, 10960, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05787365,-118.445925726254,"closed",0
"BLACK CIRCLE INC","10866 WILSHIRE BLVD,LOS ANGELES,CA,90024","05/11/2015","11/26/2018","10866, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0591843846154,-118.442019384615,"closed",1
"Home Business","1526 MALCOLM AVENUE,LOS ANGELES,CA,90024","01/01/2006","12/31/2018","1526, Malcolm Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0548523673469,-118.438563673469,"closed",0
"Home Business","10960 WILSHIRE BLVD,LOS ANGELES,CA,90024","09/18/2017","08/30/2018","Equinox Building, 10960, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05787365,-118.445925726254,"closed",0
"Home Business","760 WESTWOOD PLAZA,LOS ANGELES,CA,90024","07/01/2016","12/31/2018","Westwood Plaza, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0637938,-118.4452904,"closed",0
"RHODIUM PUBLISHING CORPORATION","10960 WILSHIRE BLVD,LOS ANGELES,CA,90024","09/18/2017","08/30/2018","Equinox Building, 10960, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05787365,-118.445925726254,"closed",1
"MANNING LLC","1665 MANNING AVENUE,LOS ANGELES,CA,90024","04/24/2000","02/07/2018","1665, Manning Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0538774285714,-118.432811714286,"closed",1
"AMPCO SYSTEM PARKING INC","10877 WILSHIRE BLVD,LOS ANGELES,CA,90024","04/16/2002","11/18/2018","10877, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05927025,-118.4423481,"closed",1
"SHIRAH VOLLMER MD APC","1402 GLENDON AVENUE,LOS ANGELES,CA,90024","07/01/1991","09/09/2018","1402, Glendon Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0564495517241,-118.440444172414,"closed",1
"VCJS LLC","1073 GLENDON AVENUE,LOS ANGELES,CA,90024","07/01/2008","07/31/2018","1073, Glendon Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0613193265306,-118.44442077551,"closed",1
"LOUIS VUITTON USA INC.","141 S CAROLWOOD DRIVE,LOS ANGELES,CA,90024","10/22/2018","10/28/2018","141, South Carolwood Drive, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0805777721155,-118.42634779929,"closed",1
"Home Business","1712  S BEVERLY GLEN BLVD,LOS ANGELES,CA,90024","05/03/2013","11/17/2018","1712, South Beverly Glen Boulevard, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.058228877551,-118.424520530612,"closed",0
"KAPLAN INC","1133 WESTWOOD BLVD,LOS ANGELES,CA,90024","06/01/1994","12/31/2018","Kaplan, 1133, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0598518,-118.4452115,"closed",1
"WEST COAST GROUND SERVICES INC","10560 WILSHIRE BLVD,LOS ANGELES,CA,90024","01/28/1994","08/23/2018","10560, Wilshire Boulevard, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.062387,-118.432843,"closed",1
"BIRDIE LICENSING LLC","10960 WILSHIRE BLVD,LOS ANGELES,CA,90024","06/08/2007","10/15/2018","Equinox Building, 10960, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05787365,-118.445925726254,"closed",1
"Home Business","1051 GLENDON AVENUE,LOS ANGELES,CA,90024","03/10/2014","06/30/2018","1051, Glendon Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0616614489796,-118.444336816327,"closed",0
"PRETTY PARTY LLC","10960 WILSHIRE BLVD,LOS ANGELES,CA,90024","04/10/2017","10/15/2018","Equinox Building, 10960, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05787365,-118.445925726254,"closed",1
"Home Business","1255 DEVON AVENUE,LOS ANGELES,CA,90024","02/01/2017","12/30/2018","1255, Devon Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0654959970509,-118.426457141566,"closed",0
"EQ EXCHANGE LLC","10701 WILSHIRE BLVD,LOS ANGELES,CA,90024","07/01/2016","12/31/2018","10701, Wilshire Boulevard, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.060904,-118.435904,"closed",1
"NOSDUH LLC","10960 WILSHIRE BLVD,LOS ANGELES,CA,90024","10/08/2015","10/15/2018","Equinox Building, 10960, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05787365,-118.445925726254,"closed",1
"BIRDIE PRODUCTIONS INC","10960 WILSHIRE BLVD,LOS ANGELES,CA,90024","07/02/1999","10/15/2018","Equinox Building, 10960, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05787365,-118.445925726254,"closed",1
"Home Business","1386 WESTWOOD BLVD,LOS ANGELES,CA,90024","10/18/2018","12/31/2018","1386, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0556325,-118.44181675,"closed",0
"Home Business","10445 WILSHIRE BLVD,LOS ANGELES,CA,90024","08/01/2002","12/10/2018","Wilshire Boulevard, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0611221,-118.4346192,"closed",0
"Home Business","10650 KINNARD AVENUE,LOS ANGELES,CA,90024","08/01/2011","05/31/2018","10650, Kinnard Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0557077058824,-118.432804176471,"closed",0
"Home Business","10830 LINDBROOK DRIVE,LOS ANGELES,CA,90024","01/01/2011","12/13/2018","10830, Lindbrook Drive, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0606314489796,-118.440782612245,"closed",0
"LOS ANGELES INFO INC","10845 LINDBROOK DRIVE,LOS ANGELES,CA,90024","02/02/2005","12/01/2018","Red Pelican Music, 10845, Lindbrook Drive, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.060417,-118.442651,"closed",1
"Home Business","1441 VETERAN AVENUE,LOS ANGELES,CA,90024","01/01/2011","04/18/2018","1441, Veteran Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0530450612245,-118.44380622449,"closed",0
"Home Business","1061 GAYLEY AVENUE,LOS ANGELES,CA,90024","05/01/1984","12/31/2018","1061, Gayley Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0608713673469,-118.447159163265,"closed",0
"Home Business","10850 WILSHIRE BLVD,LOS ANGELES,CA,90024","07/01/2016","01/01/2018","English Language Center - ELC Los Angeles, 10850, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05913165,-118.44120737686,"closed",0
"Home Business","10990 ROCHESTER AVENUE,LOS ANGELES,CA,90024","01/01/2005","11/01/2018","10990, Rochester Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0553015,-118.445273,"closed",0
"Home Business","1402 GLENDON AVENUE,LOS ANGELES,CA,90024","08/11/2005","12/31/2018","1402, Glendon Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0564495517241,-118.440444172414,"closed",0
"Home Business","10866 WILSHIRE BLVD,LOS ANGELES,CA,90024","03/05/2008","12/31/2018","10866, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0591843846154,-118.442019384615,"closed",0
"AZAR GARDENS INC","1355 WESTWOOD BLVD,LOS ANGELES,CA,90024","01/01/2012","12/15/2018","1355, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0559875,-118.44225175,"closed",1
"PRIMARY WAVE MUSIC PUBLISHING LLC","10850 WILSHIRE BLVD,LOS ANGELES,CA,90024","05/01/2008","12/31/2018","English Language Center - ELC Los Angeles, 10850, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05913165,-118.44120737686,"closed",1
"ABM INDUSTRY GROUPS, LLC","10850 W LINDBROOK DRIVE,LOS ANGELES,CA,90024","03/10/2017","06/29/2018","10850, Lindbrook Drive, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0605330816326,-118.441153020408,"closed",1
"Home Business","10350 WILSHIRE BLVD,LOS ANGELES,CA,90024","10/03/2013","12/31/2018","Wilshire Boulevard, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0611221,-118.4346192,"closed",0
"WINTHORPE VALENTINE LLC","1434 WESTWOOD BLVD,LOS ANGELES,CA,90024","10/14/2015","12/31/2018","1434, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.054911877551,-118.441265877551,"closed",1
"CONTINUUM ENTERTAINMENT LLC","1376 S BEVERLY GLEN BLVD,LOS ANGELES,CA,90024","01/12/2010","01/01/2018","1376, South Beverly Glen Boulevard, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0627752363922,-118.4262431673,"closed",1
"COURTLAND PARTNERS LTD","10866 WILSHIRE BLVD,LOS ANGELES,CA,90024","08/15/2007","04/01/2018","10866, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0591843846154,-118.442019384615,"closed",1
"Home Business","943 WESTWOOD BLVD,LOS ANGELES,CA,90024","01/01/2018","12/31/2018","943, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0629449365194,-118.445187237765,"closed",0
"PREMIER NUTRITION ASSOCIATES CORP","1377 S BEVERLY GLEN BLVD,LOS ANGELES,CA,90024","03/31/2017","12/31/2018","1377, South Beverly Glen Boulevard, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.062679162774,-118.426425118461,"closed",1
"SHADZ TOURING, INC","10960 WILSHIRE BLVD,LOS ANGELES,CA,90024","12/01/2008","12/31/2018","Equinox Building, 10960, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05787365,-118.445925726254,"closed",1
"Home Business","10824 WELLWORTH AVENUE,LOS ANGELES,CA,90024","01/01/2018","12/31/2018","10824, Wellworth Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0576125510094,-118.439895926256,"closed",0
"Home Business","1314 WESTWOOD BLVD,LOS ANGELES,CA,90024","06/26/1986","12/31/2018","1314, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.056753625,-118.442492166667,"closed",0
"Home Business","1314 WESTWOOD BLVD,LOS ANGELES,CA,90024","08/27/1994","02/28/2018","1314, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.056753625,-118.442492166667,"closed",0
"NICHE BIOMEDICAL LLC","10724 LINDBROOK DRIVE,LOS ANGELES,CA,90024","09/16/2016","05/03/2018","10724, Lindbrook Drive, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.061579020797,-118.4370833353,"closed",1
"Home Business","908 MALCOLM AVENUE,LOS ANGELES,CA,90024","01/01/2006","08/01/2018","908, Malcolm Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0636079183673,-118.439847693878,"closed",0
"Home Business","10960 WILSHIRE BLVD,LOS ANGELES,CA,90024","03/04/2003","12/31/2018","Equinox Building, 10960, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05787365,-118.445925726254,"closed",0
"Home Business","436 KELTON AVENUE,LOS ANGELES,CA,90024","03/01/1975","11/02/2018","436, Kelton Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0695873061225,-118.453697244898,"closed",0
"Home Business","10850 WILSHIRE BLVD,LOS ANGELES,CA,90024","01/01/2011","12/31/2018","English Language Center - ELC Los Angeles, 10850, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05913165,-118.44120737686,"closed",0
"ADVERTISING & ACCESSORIES INC","507 GLENROCK AVENUE,LOS ANGELES,CA,90024","12/01/2013","12/31/2018","The Nest, 507, Glenrock Avenue, Westwood, Los Angeles, Los Angeles County, California, 90095, United States",34.06785675,-118.451766555532,"closed",1
"WEB ROCKY LLC","1642 WESTWOOD BLVD,LOS ANGELES,CA,90024","02/28/2013","12/31/2018","1642, Westwood Boulevard, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.052472,-118.439163714286,"closed",1
"KATHLEEN J NUCKLES DDS","10921 WILSHIRE BLVD,LOS ANGELES,CA,90024","05/10/1984","06/30/2018","Westwood Medical Plaza, 10921, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05886315,-118.444825522401,"closed",1
